startDate,endDate,usage,cost,meterConsumption
2023-12-01,2024-03-01,14,240.94,
2023-09-01,2023-12-01,20,344.2,
2023-06-01,2023-09-01,26,447.46,
2023-03-01,2023-06-01,37,583.12,
2022-12-01,2023-03-01,31,488.56,
2022-09-01,2022-12-01,27,425.52,
2022-06-01,2022-09-01,28,441.28,
2022-03-01,2022-06-01,15,236.4,
2021-12-01,2022-03-01,65,1024.4,
2021-09-01,2021-12-01,45,709.2,
2021-06-01,2021-09-01,45,709.2,
2021-03-01,2021-06-01,44,693.44,
